"","Ostan","gorooh","address","NoeKhanevar","TedadAza","SarparstJensiat","SarparstSen","SarparstSavad","SarparstTahsil","SarparstMadrak","SarparstFaaliat","SarparstZanashoyi","NahveTasarof","TedadOtagh","SatheZirbana","NoeEskelet","mashin","motor","docharkhe","radio","radiozabt","tv","tvrangi","video","computer","mobile","freezer","yakhchal","yakhchalfreezer","ojaghgaz","jarobarghi","lebasshoyi","khayati","panke","coolerabimoteharek","coolergazimoteharek","zarfshoyi","microfer","hichkodam","lolekeshiab","bargh","gazlolekeshi","telephone","internet","hamam","ashpazkhane","coolerabisabet","borodatmarkazi","hararatmarkazi","package","coolergazisabet","fazelabshahri","nsokhtpokhtpaz","nsokhtgarma","nsokhtabgarm","HazineKhoraki","HazineNoshidani","HazinePoshak","HazineMaskan","HazineLavazemKhanegi","HazineDarmani","HazineHamlonaghl","HazineErtebatat","HazineTafrihatFarhangi","HazineGhazaAmade","HazineKalaMotefaregheh","HazineKalaBadavam","Target"
"685","kermanshah","6",10507065821,1,3,1,40,"1","2","5",1,1,4,3,70,2,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,4,14,24,6891000,0,150000,8760000,530000,720000,550000,287000,0,0,350000,99545800,11870833.3333333
"686","kermanshah","6",10501058526,1,1,2,50,"2",NA,NA,3,2,3,3,50,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,2907000,0,0,6790000,365000,1e+05,0,1e+05,0,0,50000,9243500,4687500
"687","kermanshah","6",10505064126,1,1,2,80,"2",NA,NA,3,2,4,3,90,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,4,14,24,4975600,0,50000,8320000,320000,1100000,0,0,0,0,230000,4860000,8562500
"688","kermanshah","6",10502059815,1,3,2,63,"1","2","1",3,2,1,4,120,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,12446100,0,140000,9800000,590000,450000,410000,755000,0,0,550000,15571090,55418333.3333333
"689","kermanshah","6",10502059822,1,4,1,38,"1","2","4",1,1,1,4,75,3,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,9425000,0,0,7760000,810000,0,6e+05,480000,0,0,377000,81453000,21916666.6666667
"690","kermanshah","6",10505064118,1,2,1,57,"2",NA,NA,3,1,6,3,40,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,4,14,24,11282000,3e+06,1e+06,3e+06,1e+06,2900000,5e+05,3e+05,0,0,240000,0,22500000
"691","kermanshah","6",10502061029,1,1,2,64,"2",NA,NA,3,2,3,3,70,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,4,14,24,4415000,0,3e+05,9650000,690000,150000,0,150000,0,0,250000,17518000,31916666.6666667
"692","kermanshah","6",10502061016,1,4,1,65,"1","2","4",1,1,1,4,80,2,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,4,14,24,8465000,0,0,16750000,1400000,8e+05,850000,890000,0,0,5e+05,4962000,17350000
"693","kermanshah","6",10501058529,1,5,1,43,"1","2","2",1,1,1,3,54,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,4,14,24,8443000,0,120000,7176000,1230000,3540000,150000,140000,0,0,3e+05,63115800,12780833.3333333
"694","kermanshah","6",10514069926,1,4,1,55,"1","2","1",1,1,1,4,85,2,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,11677000,0,0,3600000,1040000,120000,9e+05,7e+05,0,0,420000,24047520,19033333.3333333
"695","kermanshah","6",10514069917,1,5,1,48,"1","2","3",1,1,1,3,70,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,13347000,0,0,7960000,1920000,0,1080000,4e+05,0,0,560000,9778900,14504166.6666667
"696","kermanshah","6",10502062222,1,4,1,40,"1","2","2",3,1,3,4,120,3,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,5702500,5e+05,0,8640000,650000,690000,1e+05,460000,0,0,5e+05,58987000,15916666.6666667
"697","kermanshah","6",10514069922,1,4,1,48,"1","2","4",1,1,1,3,95,3,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,4,14,24,9893900,0,0,10110000,1370000,250000,750000,295000,0,0,627000,116131000,22884166.6666667
"698","kermanshah","6",10513069014,1,2,1,37,"1","2","2",1,1,6,2,40,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,4,14,24,3418000,0,0,4500000,615000,0,9e+05,350000,0,0,220000,87796040,14491666.6666667
"699","kermanshah","6",10511068217,1,2,1,28,"1","2","4",1,1,4,4,100,3,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,5908500,0,0,9315000,830000,0,2100000,950000,0,0,420000,97470000,18434166.6666667
"700","kermanshah","6",10513069019,1,2,1,96,"2",NA,NA,3,1,1,3,40,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,4,14,24,5416000,0,0,2510000,250000,750000,0,1e+05,0,0,120000,1.6e+08,18168333.3333333
"701","kermanshah","6",10513069026,1,2,1,28,"1","2","5",1,1,3,3,80,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,4,14,24,6180000,0,0,4110000,940000,0,1200000,450000,0,0,740000,141154000,31759166.6666667
"702","kermanshah","6",10501058519,1,3,1,46,"1","2","4",1,1,3,3,50,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,4,14,24,8247500,750000,0,7900000,1300000,0,7e+05,250000,0,0,4e+05,3100000,8583333.33333333
"703","kermanshah","6",10511068224,1,3,1,47,"1","2","4",1,1,4,4,100,3,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,8554700,0,0,10490000,930000,8e+05,1100000,5e+05,0,0,7e+05,89173600,28460000
"704","kermanshah","6",10508066229,1,2,1,79,"2",NA,NA,1,1,3,4,150,3,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,4,14,24,7744000,0,250000,10960000,1250000,4300000,7e+05,250000,0,0,420000,73270000,20500000
"705","kermanshah","6",10502060217,1,3,1,64,"2",NA,NA,3,1,1,4,60,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,7245000,0,0,8900000,9e+05,1050000,250000,450000,0,0,260000,6420000,3290000
"706","kermanshah","6",10510067429,1,4,1,60,"1","2","9",3,1,1,3,130,3,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10287000,0,0,11800000,1125000,0,1e+06,940000,0,0,530000,33550000,22820000
"707","kermanshah","6",10502060213,1,3,1,28,"1","2","4",1,1,3,3,60,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,6555000,0,5e+05,7350000,1290000,1150000,2e+05,4e+05,0,0,850000,5050000,11927500
"708","kermanshah","6",10502060229,1,5,1,51,"1","2","1",1,1,6,4,80,3,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,7220500,1250000,0,10210000,1480000,2e+05,525000,1050000,0,0,750000,56500796,10358333.3333333
"709","kermanshah","6",10502060220,1,2,1,30,"1","2","2",1,1,4,3,45,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,4,14,24,7043000,0,8900000,9750000,1100000,2650000,3e+05,7e+05,0,0,7e+05,5e+05,13456666.6666667
"710","kermanshah","6",10508066214,1,3,1,46,"1","2","4",1,1,1,3,100,3,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,4,14,24,9343000,0,0,9900000,660000,0,850000,916000,0,0,590000,53803538,1.5e+07
"711","kermanshah","6",10513069029,1,5,1,40,"1","2","1",1,1,1,4,110,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,7746000,7e+05,0,6040000,830000,620000,1e+06,5e+05,0,0,620000,26127900,14825000
"712","kermanshah","6",10505064520,1,3,1,63,"2",NA,NA,3,1,1,4,50,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,4,14,24,8980000,1800000,930000,7698000,7e+05,420000,1e+05,515000,0,0,450000,13590000,18015000
"713","kermanshah","6",10505064519,1,2,1,75,"2",NA,NA,3,1,1,3,70,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,4,14,24,4953000,1625000,0,6730000,405000,150000,350000,120000,0,0,160000,6295000,7780000
"714","kermanshah","6",10502061429,1,3,1,78,"1","2","9",3,1,1,4,110,3,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,4,14,24,9065500,0,0,13735000,830000,0,2400000,7e+05,0,0,520000,23890000,20680833.3333333
"715","kermanshah","6",10502062624,1,2,1,49,"1","2","2",3,4,3,4,75,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,3962500,0,0,11645000,1020000,1e+06,4e+05,550000,0,0,4e+05,1704000,3083333.33333333
"716","kermanshah","6",10501059020,1,5,1,37,"1","2","1",1,1,3,2,28,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,4,14,24,8248300,1350000,0,6330000,590000,0,2e+05,2e+05,0,0,570000,2606000,13626666.6666667
"717","kermanshah","6",10501059017,1,2,2,84,"2",NA,NA,3,2,1,4,100,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,4,14,24,6516000,5700000,2e+06,7340000,830000,0,2e+05,2e+05,0,0,2e+05,2050000,10796666.6666667
"718","kermanshah","6",10501059016,1,1,2,74,"2",NA,NA,3,2,1,3,75,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,5597000,0,0,8870000,740000,1670000,1500000,1e+05,0,0,150000,50000,7811666.66666667
"719","kermanshah","6",10514069426,1,4,1,46,"1","2","1",1,1,1,3,80,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4,14,24,8809000,0,0,3500000,8e+05,550000,550000,2e+05,150000,0,510000,0,14461666.6666667
"720","kermanshah","6",10510067413,1,3,1,63,"1","2","2",3,1,1,4,116,3,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,10475000,0,2e+06,11450000,1175000,0,3e+05,1150000,0,0,3e+05,30813705,39120000
"721","kermanshah","6",10507065420,1,5,1,38,"1","2","1",1,1,3,3,60,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,6135000,8e+05,0,4500000,850000,0,450000,5e+05,0,0,480000,14586000,9545833.33333333
"722","kermanshah","6",10502060616,1,1,2,42,"1","2","1",3,2,1,4,75,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4,14,24,4025500,0,450000,8378000,820000,130000,250000,7e+05,0,0,550000,7985000,22245000
"723","kermanshah","6",10502060623,1,2,1,30,"1","2","6",1,1,6,3,80,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,2576200,0,480000,8880000,1070000,3700000,250000,495000,0,0,3e+05,63774000,13684166.6666667
"724","kermanshah","6",10509066629,1,4,1,39,"1","2","4",1,1,3,4,100,3,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4,14,24,12662500,0,0,9450000,1200000,9500000,2500000,1300000,0,0,610000,8376000,21753333.3333333
