"","code","name","group"
"1","00","markazi","4"
"2","01","gilan","2"
"3","02","mazandaran","2"
"4","03","azarbajan_sharghi","5"
"5","04","azarbajan_gharbi","5"
"6","05","kermanshah","6"
"7","06","khouzestan","7"
"8","07","fars","7"
"9","08","kerman","1"
"10","09","khorasan_razavi","1"
"11","10","esfehan","4"
"12","11","sistan_o_balouchestan","1"
"13","12","kordestan","6"
"14","13","hamedan","4"
"15","14","chahar_mahal_o_bakhtiari","6"
"16","15","lorestan","6"
"17","16","ilam","6"
"18","17","kohkiluyeh_va_boyer-ahmad","6"
"19","18","boushehr","7"
"20","19","zanjan","5"
"21","20","semnan","4"
"22","21","yazd","4"
"23","22","hormozgan","7"
"24","23","tehran","3"
"25","24","ardebil","5"
"26","25","qom","4"
"27","26","qazvin","3"
"28","27","golestan","2"
"29","28","khorasan_shomali","1"
"30","29","khorasan_jonoubi","1"
"31","30","alborz","3"
